Indonesia,Simalungun
berbesan,"marbesan, marbesan "
berbesok,sogod 
berbiak,"margargar, margargar "
berbicara,"bual, marhitei, marhitei "
berbicara; - cakap,bual
berbiji,marbatu
berbiji batuan,marbatu 
berbintang,marbintang
berbintang bintang marratur,marbintang 
berbintik,"marronggot, marronggot "
berbisik,"marhusip, marhusip "
berbisul,"bayohon 
"
berbuah,"marboras, marboras "
berbuat jahat terhadap,manjahati  
berbuat jasa okang,marombou 
berbuat sebagai orang kesal,mangilei 
berbuih,marlumoh 
berbukit,marbuntu 
berbulu,"marambulu, marambulu "
berbungkus,marbungkus
berbungkus ,marbungkus 
berbunyi,"malibig, mardajar 
, marhasak "
berbunyi gedebug,malibig 
berbunyi piring jatuh,mardoran 
berburu,marburu 
berburu,mardapot
berburu mardum [mardum] v makan beras,mardapot
berbusukan,makkamasik 
bercabang tupang,martupang 
bercacar,marsasar 
bercahaya,mirlak
bercakap,"limlim, marbualbual, marbualbual 
"
bercakap; ,limlim
bercampakan,"mangkamistak, mangkamistak "
bercampur,marsaor 
bercampur aduk,samuk
bercap,martokan 
bercari,marsitorihan 
berceceran,"mangkapeper, mangkapeper "
bercelana,"marpitolon, marpitolon "
bercendawan,"mardawan, mardawan "
bercerai,"marsirang, marsirang , martolah, martolah "
bercerita,"marsarita, marsarita "
bercermin,"marhasa, marhasa , marsormin, marsormin "
bercincin,"martintin, martintin "
berciuman,"marsiummahan, marsummah, marsummah 
"
bercucu,marpahompu 
bercukur,"marsuhur, marsuhur "
berdada,martonton
berdahan,"mardangkah, mardangkah "
berdamai,"mardamei, mardamei "
berdapur,martataring
berdapur tauk lawan,martataring 
berdarah,"mardaroh, mardaroh "
berdatangan,marsiroh 
berdayung,marholey 
berdebar,"mardibar, mardibar "
berdebu,"marabab , marorbuk "
berdekatan,"hombar, mardohoran, mardohoran "
berdelapan,"ualuh, ualuh "
berdendang tak peduli waktu,marihal 
berdengung,"mardondong, mardondong "
berdengus,"mardongos 
"
berdenting,marlatang 
berdentum,"mardurub, mardurub 
"
berderak,"marhurapak, marhurapak "
berderang,dereng
berderap,"margorojob, margorojob 
"
berdering,"mardiring 
"
berdesir,"marhurasak, marhurasak "
berdetik,mardotik 
berdiam diri tidak mau berkata,marlongah 
berdiang,"mardadang, mardadang 
"
berdiri,"hiad, jongjong"
berdoa,martonggo 
berdosa,"mardousa 
"
berdudukan,"marhundulan, marhundulan "
berduka cita,"marhoru 
"
berduka cita ,marpusok ni uhur 
berduri,"marsuga, marsuga "
berdusta,"bohong  
marladung , bual 
, marbual , margoak, marladung, marlamis, marlamis , maromou "
berduyun,"marhapuyung 
"
berekor,ihur 
berekor marihur,marihur 
beremas,maromas 
berembun,"embunkan  
marombun "
berempat,"opat, opat 
"
berenam,"onom, onom "
berenang,marlange
berencana,"manragam, manragam 
"
beretakan,"mangkasiltag, mangkasiltag "
bergagang,"marsongkir, marsongkir , marsuhul, marsuhul "
bergandeng,markanting
berganti,"libei, marlibei, marlibei "
berganti; tukar; ; bertukar,libei
bergantungan,hantui
bergantungan disebabkan buahnya lebat,hantui
bergaram,marsira 
bergatalan,"marjutal, marjutal 
"
bergelang,"golang 
, margolang, margolang "
bergelap,golap 
bergelinciran,mangkajiris 
bergembira,"dengan, dengan , marmegah 
"
bergemuruh,"margorob, margorob "
bergerak,"heorheor, hulosor , humatiltal, miut, muit"
bergerak (bergeser dari tempat duduk),miut
bergerak- gerak seperti binatang yang masuk ke dalam telinga,heorheor
bergerak ke atas ke bawah,ondun
bergerak ke sana kemari,humatiltal 
bergeser sedikit demi,osos
bergeser sedikit demi sedikit,osos
bergetar,"hitir , mardanggor, mardanggor 
"
berghasing,"margasing, margasing "
bergigi,maripon
bergigi ipong,maripon 
bergores,jei 
bergotong,"marharoan 
"
bergoyang,"unggil, unjal "
bergoyang naik,unjat
bergoyang naik turun,unjat
berguling,"gulang, margulang"
berguling gulang,margulang 
bergulung,marhulhul 
berguna,"marlabu, marlabu "
bergundu,marguli 
berhala,begu
berhalangan,"borhom, sundat"
berhalangan karena penyakit,borhom
berhamburan,"mangkasabur, mangkasabur , puar"
berhangus,mangkamosong 
berhantu,marbegu 
berharap,"martingkis 
"
berharga,mararga 
berhembus,"maruos, maruos "
berhenti,"donah, marhonti , sangkil, sonto, sonto "
berhenti ramai,marsohan 
berhinggapan,"marsogopan, marsogopan "
berhujan,"marudan, marudan "
beri,bere
beri tahu,tugah
beribu,"marinang, marinang , marribu "
berikan kepadaku,bojon
berikat pinggang,margondit 
berilmu (terutama dalam hal agama Islam),malim
beringin,jabi
beripar,martondong 
berirama,"marlubuk, marlubuk "
beriring,"marhentor, marhentor 
, maririk , marodor , odor , padot"
beriring; ber- samaan,padot
berisi air,alnang
berisi pangision n pengisian,marisi 
beristirahat,"marsaran 
"
beristri,"marparsonduk , marparsondukhon"
berita,barita
berjaga,"marari , marjaga "
berjagung,marjagul 
berjalan,"mardalan , marsulelet, marsulelet "
berjalan ke sana ke,edang
berjalan ke sana ke mari,hontus
berjalan ke sana ke mari tidak menentu,edang
berjalan terhuyung-huyung,jepan
"berjalan	sendiri-sendiri",julungjulung
berjampi,"jampi 
martabas , martabas"
berjangkit,sasei
berjanji,"bagah , marpadan, marpadan "
berjatuhan,"guribag, huritap"
berjemur,marjomur
berjendela,"martingkap, martingkap "
berjerawat,"dawa, dawa , marjarawat "
berjingkat,"marjingkat, marjingkat 
"
berjualan,"marjualan , tiga 
"
berjudi dengan kartu domino,lesset
berjudi domino,lesset
berjudi parjudion n perjudian perihal berjudi,marjudi 
berjumpa,"jumpa  
marjumpah , pajumpah "
berjungkir balik tunggar,martunggal isang 
berkain,marhiou 
berkali,gasgas
berkali-kali,"gasgas, marhali-hali"
berkamar,"markamar, markamar  "
berkampung,marhuta  
berkandang,"marharang, marharang "
berkantong,"marhunsang, marhunsang , markussang, markussang "
berkapur,marhapur 
berkarat,martusik 
berkarung,marsumpit 
berkat (tuhan),idup
berkata,"marhata , marsahap 
"
Berkata-kata,marsahap
berkawan,"marhasoman , marhuan "
berkayuh,"markayuh, markayuh , marluga 
"
berkebun,"marjuma , markobun, markobun "
berkecambah,"margusta, margusta 
"
berkecil hati,marhutuk 
berkedai membuka kedai,"markodei 
"
berkejar,"marsiayakan 
, marsitulusan "
berkejaran,"marsidakdakan, marsidakdakan "
berkelahi,"marbada, tengkar 
martinggil 
"
berkelahi (khusus binatang),junggap
berkelakar,"margereh , marhuria "
berkeliling,bangkou
berkeluh,holsohan
berkeluh kesah,holsohan 
berkembang,manggargari
berkembang biak,manggargari 
berkembangbiak,"gagar, manggompar 
"
berkeok,keok
berkepala,marulu 
berkepanjangan,lalab
berkepanjangan; terus menerus,lalab
berkerabu,"anting , marhurabu, marhurabu "
berkeranjang,"marharanjang, marharanjang "
berkeringat,"marhadogas, marhadogas "
berkeringat karena lelah atau panas,"hadogason 
"
berkerja,marhosei 
berkerumun karena diberi makanan,"marhirap 
"
berkerut,luk 
berkesem,marhasompatan 
berkesudahan berakhir dengan berakibat,mardophon 
berkhianat,"martahi, martahi "
berkhitan,"marsopit, marsopit "
berkilat,"inal 
, irlak, mangkilap, mangkilap "
berkilat; cemerlang,irlak
berkipas,marhipas 
berkotek,"margegek, margegek 
, marhotek 
"
berkotoran,marbutak
berkotoran sabutak a sama kotor dengan butak,marbutak 
berkuasa,"marhak , markuasa, markuasa "
berkubang,parsat
berkuda,marhuda 
berkudis,marutu 
berkuku,"marsisilon, marsisilon "
berkumis,margumis 
berkumpul,"gulma, lou , luhut, marrugun, marrugun "
berkunang,"marsipotpot 
"
berkurang,"marhurang, marhurang , mindoh, sordu"
berkurang sakitnya,mindoh
berkurang sedikit,lutik
berkurung,"marhuyung, marhuyung "
berkutil,buku 
berkutu,"hutuan , hutuon, hutuon "
berlainan,"marlegan, marlegan "
berlampu,"marsuluh, marsuluh "
berlanjut,layur
"berlanjut, terus menerus sehari penuh",layur
berlantai,"mardasor, mardasor "
berlari,"gabug, lintun , manganjis, marlintun "
berlari dengan ken,maporus 
berlari kencang,manganjis 
berlari-lari sambil melompat-lompat,dihut
berlawanan,"maralo, maralo , marimbang, saingan  
marimbang 
"
berleher,"marborgok, marborgok "
berlemak,lemak
berlemak; berminyak,lemak
berlempar,"marsidangguran, marsidangguran "
berlendir,"godir , marlender, marlender 
"
berlepasan,mangkaluah
berliku,margelog 
berlilit,horung
berlima,"palimalima, palimalima "
berlipat ganda,longgi
berlonceng,giring 
berlubang rodam,marrobung 
berlumpur,"lugut , marlugut "
berlumur,lagut
berlumut,marlimutlimut 
berlumut unang,marumut 
berlupaan,marsilolos 
berlutut,manowod 
berlutut tittit,martohod 
bermacam,"bagei , lanou, marhurawang, marhurawang "
bermacam-macam;banyak,lanou
bermain,"guro , marsordam"
bermain bola,marbola 
bermain dara,"mardara 
"
bermain judi,martuok 
bermain kartu domino,marlesset 
bermain layangan layap,layang 
bermain serdam,marsordam 
bermalam,"marborngin, marborngin "
bermatian,"mangkamatei 
"
bermayang,marrudang 
bermenantu laki,"laki 
marhela "
bermimpi,marnipi 
berminggu,"marminggu, marminggu 
"
berminyak,"marhoping, marminak "
bermodal,"martunggul, martunggul "
bermuara,"mangehen, mangehen "
bermufakat,"marariharih 
"
bermuka,"marbohi, marbohi "
bermula,marmula 
bermulut,"marbabah, marbabah "
bermunculan,"marsimulgap , martimbuk, martimbuk "
bermusuh,mamusuhi 
bernama,margora
bernanah,"mandangi , marnanah "
bernapas,"marhosah, marhosah "
bernaung,linggoh
berniaga,boniaga
berniat,mangilat
berniat jahat,mangilat 
bernyanyi,"mardoding , marilah"
bernyanyi ila,marilah 
berobat,"martambar, martambar , marubat, marubat "
berombak,"margilumbang, margilumbang , marumbak "
berombongan,"marhulanan, marhulanan "
berondong,rondang
berondong jagung,rondang
beronggok,margukgukkon 
berpadi,maromei 
berpagar,marhondor 
berpahat,martuhil 
berpahit,paet 
berpajak,"marsohei, marsohei "
berpakaian,marpakeian
berpakaian pagut,marpakeian 
berpaku,marpaku 
berpanas,"mardejeng, milas "
berpanas hati,mardejeng 
berpangkal,"marbona, marbona "
berpangkas,marpangkas
berpangkas tukang pangkas,marpangkas 
berpantang,marpantang 
berpantun,marumpasa 
berpanu,marpanou 
berparut,martikas 
berpasangan,marpasangan 
berpasir,"marhorsik, marhorsik "
berpatahan,"mangkatalpok, mangkatalpok "
berpayung,marsaong 
berpegalan,marngayot
berpegang,marsijoloman 
berpegangan,marjoloman 
berpelangi,"marhalibitongan, marhalibitongan "
berpeluk,"marhopkop, marhopkop 
, ropos "
berpelukan,"mardahopan , marhopkopkon, marhopkopkon , marsirohopan "
berpenyanggah,marhalang
berpenyanggah halangkang,marhalang 
berperahu,"marsolu, marsolu "
berperang,"marporang, marporang "
berperut,"marboltok, marboltok "
berpesan,marsousou 
berpesta,marpesta 
berpetak,"marsupak, marsupak "
berpikir,"marpingkir, marpingkir 
"
berpilin,"halimbang, porhan"
berpilin- pilin,halimbang
berpimpin,"marbobah, marbobah "
berpindah- pindah,hawas
berpinggang,"marbinongei, marbinongei "
berpisah,liglig
berpisah dari kawan atau sanak,liglig
berpukul,"marsibogbogan, marsibogbogan "
berpusing,"maringgot 
"
berputar,"humationg, humationg , margeseng , margoling , marhosing , marhusor, marhusor , maruor , modong, ordong"
berputaran,pargesengan
berputar-putar,humationg
berputik,mutik
berputik; ,mutik
bersalah,"marpipol , marsalah, marsalah "
bersama,"banjar, rap, rongkon, rup"
bersamaan,tapang
bersama-sama,"rap, rup"
bersama-sama berladang,banjar
bersampah,"martompoh, martompoh "
bersampan,marsampan 
bersandal,"marsolop, marsolop "
bersantan,marsantan
bersantan santik,marsantan 
bersarung,marsarung
bersarung sapsap,marsarung 
bersatu,marsada 
bersedekah,marsilayaklayak
bersedih,"marpusok , pusok uhur  "
bersekolah,marsikolah
berselimut,"margobar, margobar , marsalimut, marsalimut , maruhub , marulos "
berselimutkan,"kan 
maruloshon , maruloshon"
berselisih,"maringor, maringor "
berselisih jauh,taldou
bersem,sompit 
bersemak,marporon
bersembah,marsombah 
bersembunyi,"marmuni, marmuni "
bersemut,"marporkis, marporkis "
